,model_1
0,0.6055481433868408
1,0.008364200592041016
2,0.007519960403442383
3,0.007938861846923828
4,0.007672786712646484
5,0.007643222808837891
6,0.004775047302246094
7,0.005257368087768555
8,0.005217075347900391
9,0.005553007125854492
10,0.005054950714111328
11,0.0051229000091552734
12,0.004914045333862305
13,0.004871845245361328
14,0.005064964294433594
15,0.005266904830932617
16,0.005084037780761719
17,0.005249738693237305
18,0.004870891571044922
19,0.0051310062408447266
20,0.005063772201538086
21,0.0052111148834228516
22,0.00516200065612793
23,0.005357027053833008
24,0.004979848861694336
25,0.005115032196044922
26,0.005287885665893555
27,0.005050182342529297
28,0.005192279815673828
29,0.005053997039794922
30,0.005149364471435547
31,0.005143165588378906
32,0.005076885223388672
33,0.005346059799194336
34,0.005059719085693359
35,0.005043983459472656
36,0.005119800567626953
37,0.005285978317260742
38,0.005221843719482422
39,0.005217790603637695
40,0.0051610469818115234
41,0.004899024963378906
42,0.004633665084838867
43,0.005187034606933594
44,0.00506591796875
45,0.005300998687744141
46,0.004807949066162109
47,0.004899024963378906
48,0.0050830841064453125
49,0.0051610469818115234
50,0.005010366439819336
51,0.0050089359283447266
52,0.005539894104003906
53,0.005187034606933594
54,0.005313873291015625
55,0.005043745040893555
56,0.004987239837646484
57,0.0048329830169677734
58,0.005219221115112305
59,0.005035877227783203
60,0.005144834518432617
61,0.0052051544189453125
62,0.004945993423461914
63,0.005049943923950195
64,0.005132198333740234
65,0.005007028579711914
66,0.005321979522705078
67,0.005001068115234375
68,0.004830837249755859
69,0.005003929138183594
70,0.005378007888793945
71,0.005266904830932617
72,0.005157947540283203
73,0.005048036575317383
74,0.0053479671478271484
75,0.004812002182006836
76,0.0051801204681396484
77,0.004912137985229492
78,0.0050051212310791016
79,0.004891157150268555
80,0.0052831172943115234
81,0.005021810531616211
82,0.004740238189697266
83,0.005056142807006836
84,0.005222797393798828
85,0.00525212287902832
86,0.005182981491088867
87,0.005203962326049805
88,0.00537419319152832
89,0.005139350891113281
90,0.005319833755493164
91,0.005604743957519531
92,0.0056612491607666016
93,0.005692958831787109
94,0.005917072296142578
95,0.005693197250366211
96,0.0059778690338134766
97,0.0054798126220703125
98,0.005431652069091797
99,0.005259990692138672
100,0.005283832550048828
101,0.005216121673583984
102,0.005378007888793945
103,0.00576019287109375
104,0.005565166473388672
105,0.00527191162109375
106,0.0053730010986328125
107,0.00545191764831543
108,0.005418062210083008
109,0.005380868911743164
110,0.005439043045043945
111,0.005263090133666992
112,0.0058591365814208984
113,0.00568079948425293
114,0.005377054214477539
115,0.005765199661254883
116,0.00518488883972168
117,0.00578618049621582
118,0.0057909488677978516
