,model_9
0,0.6632230281829834
1,0.007933855056762695
2,0.008339881896972656
3,0.007726192474365234
4,0.007161140441894531
5,0.0076868534088134766
6,0.005202054977416992
7,0.00542902946472168
8,0.0046749114990234375
9,0.005056142807006836
10,0.004801034927368164
11,0.005040168762207031
12,0.005051851272583008
13,0.004817008972167969
14,0.004959821701049805
15,0.004944801330566406
16,0.00526881217956543
17,0.0051310062408447266
18,0.0049669742584228516
19,0.00477290153503418
20,0.004849910736083984
21,0.0048220157623291016
22,0.004790067672729492
23,0.00562286376953125
24,0.00494074821472168
25,0.0052220821380615234
26,0.0051708221435546875
27,0.004847049713134766
28,0.005321979522705078
29,0.005110979080200195
30,0.004795074462890625
31,0.005151033401489258
32,0.004935741424560547
33,0.005259037017822266
34,0.0053539276123046875
35,0.005316972732543945
36,0.004914999008178711
37,0.005037069320678711
38,0.005688667297363281
39,0.005496025085449219
40,0.0053937435150146484
41,0.005079030990600586
42,0.005021810531616211
43,0.0054090023040771484
44,0.0052149295806884766
45,0.005064964294433594
46,0.005384206771850586
47,0.005060911178588867
48,0.0046918392181396484
49,0.005280971527099609
50,0.0052852630615234375
51,0.005217075347900391
52,0.004888057708740234
53,0.005117177963256836
54,0.005004167556762695
55,0.004563331604003906
56,0.005201101303100586
57,0.004987955093383789
58,0.005524873733520508
59,0.005003690719604492
60,0.004960060119628906
61,0.0049169063568115234
62,0.00486302375793457
63,0.005115985870361328
64,0.0047609806060791016
65,0.0052378177642822266
66,0.0053250789642333984
67,0.005361795425415039
68,0.005053997039794922
69,0.004926919937133789
70,0.005078792572021484
71,0.0050008296966552734
72,0.005147218704223633
73,0.005244016647338867
74,0.005327701568603516
75,0.004888057708740234
76,0.0054891109466552734
77,0.005159854888916016
78,0.005023002624511719
79,0.0048367977142333984
80,0.005262851715087891
81,0.0053250789642333984
82,0.005089998245239258
83,0.0051839351654052734
84,0.004921913146972656
85,0.005096912384033203
86,0.005039215087890625
87,0.004572868347167969
88,0.005207061767578125
89,0.005466938018798828
90,0.005306243896484375
91,0.005294084548950195
92,0.005703926086425781
93,0.0053288936614990234
94,0.005680084228515625
95,0.005659818649291992
96,0.005567073822021484
97,0.005983114242553711
98,0.005480766296386719
99,0.005742788314819336
100,0.005471944808959961
101,0.005352973937988281
102,0.005424976348876953
103,0.0057489871978759766
104,0.005781888961791992
105,0.0054280757904052734
106,0.005352020263671875
107,0.006130218505859375
108,0.005730152130126953
109,0.005634784698486328
110,0.005354166030883789
111,0.0054819583892822266
112,0.0062389373779296875
113,0.005908966064453125
114,0.005769252777099609
115,0.0053288936614990234
116,0.005828142166137695
117,0.005751132965087891
118,0.005468845367431641
119,0.006275177001953125
120,0.005574941635131836
121,0.005713939666748047
122,0.005575895309448242
123,0.005355119705200195
124,0.005555868148803711
125,0.005853891372680664
126,0.00558781623840332
127,0.0053081512451171875
128,0.005527973175048828
129,0.005659818649291992
130,0.005725383758544922
131,0.005300998687744141
132,0.0052471160888671875
133,0.006067037582397461
134,0.00541996955871582
135,0.0058019161224365234
136,0.0060918331146240234
137,0.005307912826538086
138,0.00528407096862793
139,0.00616908073425293
140,0.0056531429290771484
141,0.005471944808959961
142,0.005820751190185547
143,0.005609989166259766
144,0.0056879520416259766
145,0.005389213562011719
146,0.005864858627319336
147,0.005756855010986328
148,0.005722999572753906
149,0.005626201629638672
150,0.005380868911743164
151,0.005680084228515625
152,0.0053310394287109375
153,0.006382942199707031
154,0.005510091781616211
155,0.005132198333740234
156,0.005624055862426758
157,0.005755901336669922
158,0.005450010299682617
159,0.005378246307373047
160,0.006047964096069336
161,0.0053670406341552734
162,0.00580906867980957
163,0.005621910095214844
164,0.005105018615722656
165,0.005651950836181641
166,0.005606889724731445
167,0.0058481693267822266
168,0.005589962005615234
169,0.005733013153076172
170,0.005179882049560547
171,0.005820035934448242
172,0.005762815475463867
173,0.006130218505859375
174,0.005884885787963867
175,0.00585484504699707
176,0.0054171085357666016
177,0.005485057830810547
178,0.0058078765869140625
179,0.005602836608886719
180,0.005404949188232422
181,0.00618290901184082
182,0.005873918533325195
183,0.005342960357666016
184,0.00558018684387207
185,0.005403280258178711
186,0.005678892135620117
187,0.005301952362060547
188,0.005173921585083008
189,0.005592823028564453
190,0.005698680877685547
191,0.0059850215911865234
192,0.006578922271728516
193,0.005944967269897461
194,0.005621910095214844
195,0.005825042724609375
196,0.005803108215332031
197,0.006010770797729492
198,0.005357980728149414
199,0.00585484504699707
200,0.0056667327880859375
201,0.005246877670288086
202,0.005648136138916016
203,0.0058019161224365234
204,0.005836009979248047
205,0.00556492805480957
206,0.006334066390991211
207,0.005539894104003906
208,0.0053441524505615234
209,0.005606889724731445
210,0.005285978317260742
211,0.005362987518310547
212,0.005505084991455078
213,0.0062978267669677734
214,0.006299018859863281
215,0.005551815032958984
216,0.005736827850341797
217,0.005201816558837891
218,0.005484819412231445
219,0.005462646484375
220,0.005525112152099609
221,0.0059549808502197266
222,0.005737781524658203
223,0.005223989486694336
224,0.005769968032836914
225,0.005533933639526367
226,0.005645036697387695
227,0.00559687614440918
228,0.005519866943359375
229,0.005116939544677734
230,0.005352020263671875
231,0.005694150924682617
232,0.005410194396972656
233,0.005771160125732422
234,0.0052280426025390625
235,0.0054471492767333984
236,0.005560159683227539
237,0.005975008010864258
238,0.005544185638427734
239,0.005645036697387695
240,0.00530695915222168
241,0.005610942840576172
242,0.005316019058227539
243,0.005470991134643555
244,0.005526065826416016
245,0.005608320236206055
246,0.005977153778076172
247,0.005631923675537109
248,0.005358219146728516
249,0.005828142166137695
250,0.005796909332275391
251,0.006140947341918945
252,0.005767822265625
253,0.005763053894042969
254,0.005765199661254883
255,0.006106138229370117
256,0.0059621334075927734
257,0.005632877349853516
258,0.006041288375854492
259,0.0051860809326171875
260,0.006083011627197266
261,0.0054929256439208984
262,0.005328178405761719
263,0.005642890930175781
264,0.005765199661254883
265,0.006176948547363281
266,0.0060079097747802734
267,0.005391120910644531
268,0.005875825881958008
269,0.005334615707397461
270,0.005995750427246094
271,0.005339145660400391
272,0.00537419319152832
273,0.005246877670288086
274,0.0050220489501953125
275,0.005228996276855469
276,0.006057024002075195
277,0.006145000457763672
278,0.0056040287017822266
279,0.005525112152099609
280,0.005169868469238281
281,0.00531005859375
282,0.005484104156494141
283,0.0053899288177490234
284,0.005657196044921875
285,0.005636930465698242
286,0.005763053894042969
287,0.0055010318756103516
288,0.00582122802734375
289,0.005543947219848633
290,0.006222963333129883
291,0.0057239532470703125
292,0.005889892578125
293,0.005620002746582031
294,0.005751132965087891
295,0.005252838134765625
296,0.005896806716918945
297,0.00570988655090332
298,0.005342006683349609
299,0.0056760311126708984
300,0.00572514533996582
301,0.005414247512817383
302,0.0055506229400634766
303,0.0055658817291259766
304,0.005681037902832031
305,0.006117820739746094
306,0.005545854568481445
307,0.005433082580566406
308,0.006159067153930664
309,0.005509138107299805
310,0.005818843841552734
311,0.005631923675537109
312,0.00539398193359375
313,0.005795955657958984
314,0.005515098571777344
315,0.005502939224243164
316,0.00532984733581543
317,0.005944013595581055
318,0.006021022796630859
319,0.006148099899291992
320,0.005897045135498047
321,0.005549907684326172
322,0.005438804626464844
323,0.005467891693115234
324,0.005552053451538086
325,0.006072044372558594
326,0.005764007568359375
327,0.005331993103027344
328,0.006060123443603516
329,0.005392789840698242
330,0.0055658817291259766
331,0.005713939666748047
332,0.005403280258178711
333,0.0058040618896484375
334,0.005378007888793945
335,0.005671262741088867
336,0.005341291427612305
337,0.005545854568481445
338,0.005804777145385742
339,0.006106853485107422
340,0.005746364593505859
341,0.0053250789642333984
342,0.005494117736816406
343,0.005095243453979492
344,0.005365133285522461
345,0.005676984786987305
346,0.0056650638580322266
347,0.006250143051147461
348,0.005544900894165039
349,0.005735874176025391
350,0.0057070255279541016
351,0.005599021911621094
352,0.005586147308349609
353,0.00619196891784668
354,0.006032228469848633
355,0.005733966827392578
356,0.006101131439208984
357,0.005423307418823242
358,0.005432844161987305
359,0.0057599544525146484
360,0.005927324295043945
361,0.005730867385864258
362,0.0058901309967041016
363,0.005651950836181641
364,0.005532264709472656
365,0.005431175231933594
366,0.005113124847412109
367,0.005182027816772461
368,0.0058650970458984375
369,0.005623817443847656
370,0.005944967269897461
371,0.006092071533203125
372,0.0057070255279541016
373,0.005630970001220703
374,0.0057070255279541016
375,0.005816936492919922
376,0.005746126174926758
377,0.006061077117919922
378,0.0054128170013427734
379,0.00609898567199707
380,0.005728960037231445
381,0.005808830261230469
382,0.006128072738647461
383,0.0054798126220703125
384,0.005405902862548828
385,0.005319833755493164
386,0.005697011947631836
387,0.005768299102783203
388,0.005402803421020508
389,0.0058400630950927734
390,0.005777120590209961
391,0.00533604621887207
392,0.0057299137115478516
393,0.005897045135498047
