,model_16
0,0.13333334028720856
1,0.13333334028720856
2,0.12222222238779068
3,0.15833333134651184
4,0.1733333319425583
5,0.18888889253139496
6,0.20476190745830536
7,0.23333333432674408
8,0.2481481432914734
9,0.273333340883255
10,0.2818181812763214
11,0.2916666567325592
12,0.3153846263885498
13,0.32380953431129456
14,0.3288888931274414
15,0.32499998807907104
16,0.3294117748737335
17,0.33888888359069824
18,0.34736841917037964
19,0.3633333444595337
20,0.3761904835700989
21,0.37727272510528564
22,0.3811594247817993
23,0.3819444477558136
24,0.3866666555404663
25,0.39358973503112793
26,0.39629629254341125
27,0.3988095223903656
28,0.4045976996421814
29,0.41111111640930176
30,0.4193548262119293
31,0.42500001192092896
32,0.43030303716659546
33,0.4382352828979492
34,0.44952380657196045
35,0.4611110985279083
36,0.46846845746040344
37,0.47894737124443054
38,0.4888888895511627
39,0.5
40,0.5040650367736816
41,0.5103174448013306
42,0.5193798542022705
43,0.5272727012634277
44,0.5325925946235657
45,0.5405797362327576
46,0.5453900694847107
47,0.550000011920929
48,0.5544217824935913
49,0.5606666803359985
50,0.5660130977630615
51,0.5685897469520569
52,0.5748427510261536
53,0.5808641910552979
54,0.5830302834510803
55,0.586309552192688
56,0.5929824709892273
57,0.5982758402824402
58,0.6022598743438721
59,0.6066666841506958
60,0.6125683188438416
61,0.6155914068222046
62,0.6179894208908081
63,0.6229166388511658
64,0.6266666650772095
65,0.6308080554008484
66,0.6313433051109314
67,0.6352941393852234
68,0.6362318992614746
69,0.6380952596664429
70,0.6408450603485107
71,0.6435185074806213
72,0.6465753316879272
73,0.6486486196517944
74,0.6511111259460449
75,0.6530701518058777
76,0.6558441519737244
77,0.6576923131942749
78,0.6603375673294067
79,0.6616666913032532
80,0.662139892578125
81,0.6642276644706726
82,0.66746985912323
83,0.6690475940704346
84,0.6721568703651428
85,0.6744186282157898
86,0.6770114898681641
87,0.6799242496490479
88,0.6816479563713074
89,0.6844444274902344
90,0.6864469051361084
91,0.688043475151062
92,0.6903225779533386
93,0.6932623982429504
94,0.6957894563674927
95,0.6986111402511597
96,0.699999988079071
97,0.7017006874084473
98,0.7040404081344604
99,0.7053333520889282
100,0.7059406042098999
101,0.7075163125991821
102,0.7090615034103394
103,0.7108974456787109
104,0.7120634913444519
105,0.7125785946846008
106,0.7143301963806152
107,0.7157407402992249
108,0.7171253561973572
109,0.7187879085540771
110,0.7207207083702087
111,0.7223214507102966
112,0.7241888046264648
113,0.7260233759880066
114,0.7275362610816956
115,0.7295976877212524
116,0.7313390374183655
117,0.7327683568000793
118,0.7341736555099487
119,0.7361111044883728
120,0.736639142036438
121,0.7379781603813171
122,0.7390244007110596
123,0.7397849559783936
124,0.7405333518981934
125,0.7410053014755249
126,0.7414698004722595
127,0.7432291507720947
128,0.7452196478843689
129,0.7464102506637573
130,0.747073769569397
131,0.7479798197746277
132,0.7491227984428406
133,0.7504975199699402
134,0.7520987391471863
135,0.7526960968971252
136,0.7530413866043091
137,0.7538647055625916
138,0.7546762824058533
139,0.7547619342803955
140,0.7560283541679382
141,0.7568075060844421
142,0.7578088641166687
143,0.7581018805503845
144,0.7590804696083069
145,0.7595890164375305
146,0.7605442404747009
147,0.7614864706993103
148,0.7628635168075562
149,0.7644444704055786
150,0.7644591331481934
151,0.7651315927505493
152,0.7657952308654785
153,0.7666666507720947
154,0.7679569721221924
155,0.7685897350311279
156,0.7690021395683289
157,0.7698312401771545
158,0.7708595395088196
159,0.7720833420753479
160,0.7730848789215088
161,0.7744855880737305
162,0.7752556204795837
163,0.7762194871902466
164,0.7769696712493896
165,0.7779116630554199
166,0.7790419459342957
167,0.7795634865760803
168,0.7800788879394531
169,0.7798039317131042
170,0.7801169753074646
171,0.7800387740135193
172,0.7811175584793091
173,0.7816091775894165
174,0.7822856903076172
175,0.7829545736312866
176,0.7838041186332703
177,0.7842696905136108
178,0.7847299575805664
179,0.7857407331466675
180,0.7860037088394165
181,0.7869963645935059
