,model_13
0,0.6099269390106201
1,0.00829315185546875
2,0.007210969924926758
3,0.008289098739624023
4,0.0075609683990478516
5,0.00740504264831543
6,0.004755258560180664
7,0.004860877990722656
8,0.00487208366394043
9,0.005076885223388672
10,0.004884958267211914
11,0.004693031311035156
12,0.005259037017822266
13,0.004689931869506836
14,0.005138874053955078
15,0.004987955093383789
16,0.0049288272857666016
17,0.005034923553466797
18,0.005242109298706055
19,0.005212068557739258
20,0.004809856414794922
21,0.004888772964477539
22,0.00550389289855957
23,0.0057218074798583984
24,0.005378007888793945
25,0.005295991897583008
26,0.0053730010986328125
27,0.0054471492767333984
28,0.0053980350494384766
29,0.005114078521728516
30,0.005250692367553711
31,0.0049779415130615234
32,0.005146980285644531
33,0.005155801773071289
34,0.004923820495605469
35,0.004839897155761719
36,0.005038022994995117
37,0.0049762725830078125
38,0.005121946334838867
39,0.005463123321533203
40,0.004580974578857422
41,0.00505375862121582
42,0.005203962326049805
43,0.004685163497924805
44,0.0047149658203125
45,0.005289793014526367
46,0.0050771236419677734
47,0.0054416656494140625
48,0.005239009857177734
49,0.004962921142578125
50,0.004927158355712891
51,0.004923820495605469
52,0.00469207763671875
53,0.005169868469238281
54,0.0049610137939453125
55,0.005143165588378906
56,0.005200862884521484
57,0.004846811294555664
58,0.0050296783447265625
59,0.0051610469818115234
60,0.0052947998046875
61,0.004820823669433594
62,0.0051708221435546875
63,0.005338907241821289
64,0.005115032196044922
65,0.005232095718383789
66,0.005239009857177734
67,0.005208730697631836
68,0.00504302978515625
69,0.004842996597290039
70,0.004867076873779297
71,0.005227088928222656
72,0.005171060562133789
73,0.005141019821166992
74,0.005506277084350586
75,0.004950046539306641
76,0.005089998245239258
77,0.005147218704223633
78,0.005566835403442383
79,0.0052640438079833984
80,0.005131959915161133
81,0.005176067352294922
82,0.004936933517456055
83,0.005023002624511719
84,0.005062103271484375
85,0.005299806594848633
86,0.004620075225830078
87,0.005505084991455078
88,0.004745960235595703
89,0.004954099655151367
90,0.005294084548950195
91,0.005727052688598633
92,0.006114006042480469
93,0.00541996955871582
94,0.0050580501556396484
95,0.005962848663330078
96,0.005753040313720703
97,0.005839109420776367
98,0.0058710575103759766
99,0.0056879520416259766
100,0.005080699920654297
101,0.005223989486694336
102,0.005418062210083008
103,0.005486011505126953
104,0.00542902946472168
105,0.005609989166259766
106,0.00598907470703125
107,0.005040884017944336
108,0.0054051876068115234
109,0.006011962890625
110,0.005711078643798828
111,0.0054929256439208984
112,0.005422830581665039
113,0.0058498382568359375
114,0.005710124969482422
115,0.005771160125732422
116,0.005934953689575195
117,0.005843162536621094
118,0.00587010383605957
119,0.0057048797607421875
120,0.005381107330322266
121,0.006127834320068359
122,0.00534510612487793
123,0.0061109066009521484
124,0.0051648616790771484
125,0.0053250789642333984
126,0.005731821060180664
127,0.00609898567199707
128,0.005392789840698242
129,0.005290031433105469
130,0.005878925323486328
131,0.005551815032958984
132,0.005602836608886719
133,0.005647897720336914
134,0.005912065505981445
135,0.005092144012451172
136,0.005526065826416016
137,0.005669116973876953
138,0.005616664886474609
139,0.0055141448974609375
140,0.0050618648529052734
141,0.0061969757080078125
142,0.00545501708984375
143,0.008320093154907227
144,0.005780935287475586
145,0.005767107009887695
146,0.005593776702880859
147,0.005257129669189453
148,0.0053822994232177734
149,0.006000041961669922
150,0.005589008331298828
151,0.005557060241699219
152,0.00544428825378418
153,0.005488872528076172
154,0.005697011947631836
155,0.0055429935455322266
156,0.005773067474365234
157,0.0054018497467041016
158,0.005405902862548828
159,0.005357980728149414
160,0.005571842193603516
161,0.006153106689453125
162,0.0053408145904541016
163,0.005858182907104492
164,0.0059697628021240234
165,0.005548000335693359
166,0.00584721565246582
167,0.00677490234375
168,0.005773067474365234
169,0.005881786346435547
170,0.00557708740234375
171,0.00597691535949707
172,0.005461931228637695
173,0.005309343338012695
174,0.006231069564819336
175,0.005313873291015625
176,0.0054242610931396484
177,0.005571842193603516
178,0.0057871341705322266
179,0.00516819953918457
180,0.005124092102050781
181,0.0054700374603271484
182,0.0054628849029541016
183,0.006310224533081055
184,0.005129814147949219
185,0.005326032638549805
186,0.005270957946777344
187,0.006000995635986328
188,0.005553007125854492
189,0.005791902542114258
190,0.005903005599975586
191,0.005651950836181641
192,0.0054819583892822266
193,0.0061566829681396484
194,0.005500078201293945
195,0.005586147308349609
196,0.005317211151123047
197,0.005501270294189453
198,0.0052449703216552734
199,0.005568027496337891
200,0.005755186080932617
201,0.005467891693115234
202,0.005690097808837891
203,0.00531005859375
204,0.005511760711669922
205,0.005138874053955078
206,0.00529789924621582
207,0.005548000335693359
208,0.0055179595947265625
209,0.005287885665893555
210,0.005733013153076172
211,0.005337953567504883
212,0.005809783935546875
213,0.00562596321105957
214,0.005442142486572266
215,0.00539398193359375
216,0.005281209945678711
217,0.005446910858154297
218,0.006149768829345703
219,0.005258083343505859
220,0.005416154861450195
221,0.0053522586822509766
222,0.005693912506103516
223,0.0055751800537109375
224,0.005678892135620117
225,0.0059661865234375
226,0.005708932876586914
227,0.005590915679931641
228,0.005349159240722656
229,0.005405902862548828
230,0.0052471160888671875
231,0.005888938903808594
232,0.005505084991455078
233,0.0057909488677978516
234,0.005913734436035156
235,0.005493879318237305
236,0.005545854568481445
237,0.00561213493347168
238,0.005287885665893555
239,0.00525212287902832
240,0.006006002426147461
241,0.005547046661376953
242,0.005401134490966797
243,0.0053789615631103516
244,0.005610942840576172
245,0.005338907241821289
246,0.005209922790527344
247,0.005947113037109375
248,0.005555152893066406
249,0.0055391788482666016
250,0.005240917205810547
251,0.006026029586791992
252,0.005731105804443359
253,0.005423069000244141
254,0.005614042282104492
255,0.005259990692138672
256,0.006127119064331055
257,0.005917072296142578
258,0.0054721832275390625
259,0.00615382194519043
260,0.005176067352294922
261,0.005975008010864258
262,0.00537872314453125
263,0.00568699836730957
264,0.005266904830932617
265,0.00579380989074707
266,0.006163120269775391
267,0.0054399967193603516
268,0.005539894104003906
269,0.005566120147705078
270,0.005842924118041992
271,0.005681037902832031
272,0.005528688430786133
273,0.005369663238525391
274,0.0052340030670166016
275,0.005239009857177734
276,0.0062999725341796875
277,0.0058138370513916016
278,0.005378007888793945
279,0.0059130191802978516
280,0.005487680435180664
281,0.0053560733795166016
282,0.00573277473449707
283,0.005257129669189453
284,0.0059697628021240234
285,0.005810260772705078
286,0.005630016326904297
287,0.005476236343383789
288,0.005425930023193359
289,0.0052640438079833984
290,0.005276918411254883
291,0.005754232406616211
292,0.0053119659423828125
293,0.005755901336669922
294,0.006159067153930664
295,0.005300998687744141
296,0.005421161651611328
297,0.005601167678833008
298,0.00521397590637207
299,0.005445003509521484
300,0.005199909210205078
301,0.0056247711181640625
302,0.0057830810546875
303,0.005572080612182617
304,0.0054509639739990234
305,0.005625009536743164
306,0.0057659149169921875
307,0.005488157272338867
308,0.005434751510620117
309,0.00514984130859375
310,0.0054111480712890625
311,0.005650997161865234
312,0.0054819583892822266
313,0.005611896514892578
314,0.005767107009887695
315,0.0060002803802490234
316,0.005322933197021484
317,0.005733013153076172
318,0.005331993103027344
319,0.006342172622680664
320,0.005305767059326172
321,0.006147146224975586
322,0.005719900131225586
323,0.0053479671478271484
324,0.0052280426025390625
325,0.005650043487548828
326,0.005326747894287109
327,0.005722999572753906
328,0.006031036376953125
329,0.005087852478027344
330,0.005427122116088867
331,0.00518035888671875
332,0.0053670406341552734
333,0.005484104156494141
334,0.005858898162841797
335,0.0052547454833984375
336,0.005242109298706055
337,0.005923271179199219
338,0.005500078201293945
339,0.00598597526550293
340,0.005332231521606445
341,0.005765199661254883
342,0.005265951156616211
343,0.005629062652587891
344,0.0063359737396240234
345,0.006928920745849609
346,0.00626826286315918
347,0.0056760311126708984
348,0.005821943283081055
349,0.005939006805419922
350,0.0056629180908203125
351,0.005616903305053711
352,0.005590915679931641
353,0.005222797393798828
354,0.005099058151245117
355,0.005649089813232422
356,0.005914926528930664
357,0.005890846252441406
358,0.006392002105712891
359,0.00603175163269043
360,0.0060176849365234375
361,0.005627870559692383
362,0.00579524040222168
363,0.005670785903930664
364,0.0057408809661865234
365,0.005661964416503906
366,0.00542902946472168
367,0.0053157806396484375
368,0.005797863006591797
369,0.00530695915222168
