,model_1
0,0.1666666716337204
1,0.23333333432674408
2,0.3444444537162781
3,0.34166666865348816
4,0.3400000035762787
5,0.3777777850627899
6,0.3857142925262451
7,0.3916666805744171
8,0.38148146867752075
9,0.3933333456516266
10,0.40303030610084534
11,0.39722222089767456
12,0.39743590354919434
13,0.39047619700431824
14,0.3955555558204651
15,0.3916666805744171
16,0.38823530077934265
17,0.3870370388031006
18,0.3877193033695221
19,0.3883333206176758
20,0.3920634984970093
21,0.4015151560306549
22,0.40289855003356934
23,0.41111111640930176
24,0.41733333468437195
25,0.42435896396636963
26,0.4345678985118866
27,0.4404761791229248
28,0.44942528009414673
29,0.45444443821907043
30,0.4602150619029999
31,0.4645833373069763
32,0.46868687868118286
33,0.47647058963775635
34,0.4828571379184723
35,0.49537035822868347
36,0.5036035776138306
37,0.50789475440979
38,0.5136752128601074
39,0.5216666460037231
40,0.5268292427062988
41,0.5325396656990051
42,0.538759708404541
43,0.5454545617103577
44,0.5503703951835632
45,0.5550724864006042
46,0.562411367893219
47,0.5659722089767456
48,0.5714285969734192
49,0.5726666450500488
50,0.5777778029441833
51,0.5839743614196777
52,0.5899370908737183
53,0.5932098627090454
54,0.5951515436172485
55,0.600595235824585
56,0.6040935516357422
57,0.6097701191902161
58,0.6135593056678772
59,0.6183333396911621
60,0.6240437030792236
61,0.6279569864273071
62,0.6280423402786255
63,0.6333333253860474
64,0.6379486918449402
65,0.6409090757369995
66,0.6442785859107971
67,0.647549033164978
68,0.6502415537834167
69,0.6547619104385376
70,0.6568074822425842
71,0.6592592597007751
72,0.6621004343032837
73,0.6662161946296692
74,0.6693333387374878
75,0.6723684072494507
76,0.6740259528160095
77,0.6764957308769226
78,0.6789029240608215
79,0.6808333396911621
80,0.6831275820732117
81,0.6857723593711853
82,0.6875501871109009
83,0.6904761791229248
84,0.6921568512916565
85,0.6930232644081116
86,0.6946359872817993
87,0.6969696879386902
88,0.697752833366394
89,0.7003703713417053
90,0.702197790145874
91,0.7047101259231567
92,0.707168459892273
93,0.7095744609832764
94,0.7108771800994873
95,0.7128472328186035
96,0.715120255947113
97,0.7163265347480774
98,0.7181817889213562
99,0.7196666598320007
100,0.722112238407135
101,0.7238562107086182
102,0.7258899807929993
103,0.7278845906257629
104,0.7295238375663757
105,0.7305031418800354
106,0.7327103018760681
107,0.7348765134811401
108,0.7373088598251343
109,0.7390909194946289
110,0.7408408522605896
111,0.742559552192688
112,0.7442477941513062
113,0.7453216314315796
114,0.7463768124580383
115,0.7465517520904541
116,0.747863233089447
117,0.7497175335884094
118,0.7515406012535095
119,0.7527777552604675
120,0.7539944648742676
121,0.7551912665367126
122,0.7569105625152588
123,0.7580645084381104
124,0.7591999769210815
125,0.7611111402511597
126,0.7622047066688538
127,0.7632812261581421
128,0.7645995020866394
129,0.7658974528312683
130,0.7674300074577332
131,0.7691919207572937
132,0.7704260945320129
133,0.7718905210494995
134,0.7725926041603088
135,0.7737745046615601
136,0.7744525671005249
137,0.7753623127937317
138,0.7764987945556641
139,0.7776190638542175
140,0.778723418712616
141,0.7795774936676025
142,0.7804195880889893
143,0.7817129492759705
144,0.7827585935592651
145,0.7833333611488342
146,0.7843537330627441
147,0.7849099040031433
148,0.7854586243629456
149,0.7855555415153503
150,0.7865341901779175
151,0.7870613932609558
152,0.7871459722518921
153,0.7878788113594055
154,0.7890322804450989
155,0.7897436022758484
156,0.7902335524559021
157,0.7911392450332642
158,0.7918239235877991
159,0.7925000190734863
160,0.7937887907028198
161,0.7944444417953491
162,0.7952965497970581
163,0.7961382269859314
164,0.7969697117805481
165,0.7977911829948425
166,0.7984032034873962
167,0.7996031641960144
168,0.8003944754600525
169,0.8007842898368835
170,0.8015594482421875
171,0.80271315574646
172,0.8032755255699158
173,0.8040229678153992
174,0.8049523830413818
175,0.8058711886405945
176,0.806779682636261
177,0.8076779246330261
178,0.8083798885345459
179,0.8090741038322449
180,0.809760570526123
181,0.8104395866394043
182,0.8111110925674438
183,0.8117753863334656
184,0.8122522234916687
185,0.8123655915260315
186,0.813190758228302
187,0.8136524558067322
188,0.8142856955528259
189,0.8149122595787048
190,0.8150086998939514
191,0.8152777552604675
192,0.815544068813324
193,0.8163230419158936
194,0.8169230818748474
195,0.8175169825553894
196,0.8181049227714539
197,0.8190235495567322
198,0.8199329972267151
199,0.8208333253860474
200,0.8213930130004883
201,0.8219472169876099
202,0.8220033049583435
203,0.8223856091499329
204,0.8229268193244934
205,0.8233009576797485
206,0.8236715197563171
207,0.8240384459495544
208,0.8242424130439758
209,0.824920654296875
210,0.8249605298042297
211,0.825628936290741
212,0.8255085945129395
213,0.8261682391166687
214,0.8266666531562805
215,0.8270061612129211
216,0.8273425698280334
217,0.8275229334831238
218,0.8278538584709167
219,0.828181803226471
220,0.8286576271057129
221,0.8283783793449402
222,0.8285501003265381
223,0.8291666507720947
224,0.8291851878166199
225,0.8294985294342041
226,0.8298091292381287
227,0.8304093480110168
228,0.8307132720947266
229,0.8307246565818787
230,0.8313131332397461
231,0.8317528963088989
232,0.8323318958282471
233,0.8327635526657104
234,0.8329077959060669
235,0.8331921100616455
236,0.8334739804267883
237,0.8340336084365845
238,0.8347280621528625
239,0.8351389169692993
240,0.8355463147163391
241,0.8356749415397644
242,0.836214005947113
243,0.8366120457649231
244,0.8368707299232483
245,0.8373983502388
246,0.8376518487930298
247,0.8380376100540161
248,0.83868807554245
249,0.8392000198364258
250,0.8395750522613525
251,0.8399471044540405
252,0.8401844501495361
253,0.8406823873519897
254,0.8409150242805481
255,0.841015636920929
256,0.8412451148033142
257,0.841472864151001
258,0.8419562578201294
259,0.8421794772148132
260,0.842528760433197
261,0.8428753018379211
262,0.8432192802429199
263,0.8434343338012695
264,0.8438993692398071
265,0.8442355990409851
266,0.8444444537162781
267,0.8445273637771606
268,0.8448575139045715
269,0.8453086614608765
270,0.8456334471702576
271,0.8462010025978088
272,0.8465201258659363
273,0.8468369841575623
274,0.8470302820205688
275,0.8472222089767456
276,0.8476534485816956
277,0.8479616045951843
278,0.8482676148414612
279,0.8482142686843872
280,0.8482799530029297
281,0.8486997485160828
282,0.8488810658454895
283,0.8491784334182739
