,model_19
0,0.6443700790405273
1,0.008550882339477539
2,0.007319927215576172
3,0.007061958312988281
4,0.007884025573730469
5,0.007616996765136719
6,0.0048351287841796875
7,0.005811929702758789
8,0.0056498050689697266
9,0.005439043045043945
10,0.005040884017944336
11,0.005514860153198242
12,0.0054051876068115234
13,0.005195140838623047
14,0.005190134048461914
15,0.005991935729980469
16,0.0051538944244384766
17,0.005233049392700195
18,0.006155967712402344
19,0.0046749114990234375
20,0.005188941955566406
21,0.005084037780761719
22,0.005151033401489258
23,0.005493879318237305
24,0.0050737857818603516
25,0.005126953125
26,0.00506901741027832
27,0.005749940872192383
28,0.0057981014251708984
29,0.0053730010986328125
30,0.0057528018951416016
31,0.0058400630950927734
32,0.005311012268066406
33,0.0051212310791015625
34,0.0053958892822265625
35,0.004768848419189453
36,0.0057830810546875
37,0.004981040954589844
38,0.005465030670166016
39,0.0056438446044921875
40,0.005115032196044922
41,0.0054628849029541016
42,0.00558018684387207
43,0.006073713302612305
44,0.005621910095214844
45,0.005304098129272461
46,0.005316734313964844
47,0.005276203155517578
48,0.0053119659423828125
49,0.005486726760864258
50,0.0052187442779541016
51,0.005172014236450195
52,0.0047359466552734375
53,0.005311012268066406
54,0.005548954010009766
55,0.005445957183837891
56,0.0059299468994140625
57,0.00515294075012207
58,0.005688905715942383
59,0.005106210708618164
60,0.005045890808105469
61,0.005190849304199219
62,0.0050811767578125
63,0.005413055419921875
64,0.004868030548095703
65,0.0054280757904052734
66,0.005171060562133789
67,0.004992008209228516
68,0.004694938659667969
69,0.004770994186401367
70,0.0052890777587890625
71,0.004703044891357422
72,0.004718780517578125
73,0.0050868988037109375
74,0.005822181701660156
75,0.005438804626464844
76,0.0059528350830078125
77,0.005914926528930664
78,0.005213022232055664
79,0.005326986312866211
80,0.0051381587982177734
81,0.0056591033935546875
82,0.005394935607910156
83,0.004930973052978516
84,0.004993915557861328
85,0.005007028579711914
86,0.0048100948333740234
87,0.0050771236419677734
88,0.004984140396118164
89,0.00511622428894043
90,0.005636930465698242
91,0.00577998161315918
92,0.006303071975708008
93,0.005856037139892578
94,0.0058519840240478516
95,0.005298137664794922
96,0.005672931671142578
97,0.0060312747955322266
98,0.006661891937255859
99,0.005679130554199219
100,0.006207942962646484
101,0.006127119064331055
102,0.0059239864349365234
103,0.00562286376953125
104,0.005757331848144531
105,0.0052149295806884766
106,0.00556182861328125
107,0.005018949508666992
108,0.005918979644775391
109,0.005125284194946289
110,0.005421876907348633
111,0.005001068115234375
112,0.0061130523681640625
113,0.005600929260253906
114,0.005883932113647461
115,0.005436897277832031
116,0.0058879852294921875
117,0.005769014358520508
118,0.0056760311126708984
119,0.006043910980224609
120,0.005601167678833008
121,0.005640983581542969
122,0.006480216979980469
123,0.005982160568237305
124,0.005676984786987305
125,0.005749940872192383
126,0.0061109066009521484
127,0.005476951599121094
128,0.005547046661376953
129,0.0054340362548828125
130,0.005285024642944336
131,0.005315065383911133
132,0.005185127258300781
133,0.005337953567504883
134,0.005461931228637695
135,0.005506038665771484
136,0.0057528018951416016
137,0.005831241607666016
138,0.00562596321105957
139,0.005029201507568359
140,0.005725860595703125
141,0.005633831024169922
142,0.006004810333251953
143,0.0054929256439208984
144,0.005096912384033203
145,0.0056018829345703125
146,0.005279064178466797
147,0.0058269500732421875
148,0.0051348209381103516
149,0.005058765411376953
150,0.005822896957397461
151,0.0054836273193359375
152,0.005639076232910156
153,0.005780935287475586
154,0.006945133209228516
155,0.005633115768432617
156,0.00681614875793457
157,0.009252071380615234
158,0.00576019287109375
159,0.005733966827392578
160,0.007542133331298828
161,0.006987094879150391
162,0.006058931350708008
163,0.00566411018371582
164,0.007256746292114258
165,0.00640106201171875
166,0.007465839385986328
167,0.0075910091400146484
168,0.0068721771240234375
169,0.0065419673919677734
170,0.005841970443725586
171,0.005960941314697266
172,0.0062100887298583984
173,0.006067991256713867
174,0.00554203987121582
175,0.00653386116027832
176,0.005909919738769531
177,0.0056231021881103516
178,0.006258249282836914
179,0.005936145782470703
180,0.00569605827331543
181,0.005650997161865234
182,0.005955696105957031
183,0.005846738815307617
184,0.00592494010925293
185,0.005716085433959961
186,0.005105733871459961
187,0.005300998687744141
188,0.005536079406738281
189,0.00633692741394043
190,0.005873918533325195
191,0.005817890167236328
192,0.006026029586791992
193,0.006211996078491211
194,0.005977153778076172
195,0.005607128143310547
196,0.005570888519287109
197,0.005494117736816406
198,0.005980968475341797
199,0.005758047103881836
200,0.0064733028411865234
201,0.005500078201293945
202,0.0056803226470947266
203,0.005302906036376953
204,0.005289793014526367
205,0.005342960357666016
206,0.006145000457763672
207,0.005483150482177734
208,0.005955219268798828
209,0.0062978267669677734
210,0.005864381790161133
211,0.005237102508544922
212,0.006297111511230469
213,0.006114006042480469
214,0.005785226821899414
215,0.0054051876068115234
216,0.0056362152099609375
217,0.006399869918823242
218,0.0060443878173828125
219,0.005494117736816406
220,0.00541996955871582
221,0.005684852600097656
222,0.0055119991302490234
