,model_4
0,0.6849441528320312
1,0.00842595100402832
2,0.007839202880859375
3,0.008758068084716797
4,0.007241010665893555
5,0.007668972015380859
6,0.004758596420288086
7,0.005162954330444336
8,0.005076885223388672
9,0.005440950393676758
10,0.00577998161315918
11,0.004758596420288086
12,0.0054891109466552734
13,0.005154132843017578
14,0.004824638366699219
15,0.0056149959564208984
16,0.005312919616699219
17,0.006057024002075195
18,0.005316257476806641
19,0.0050771236419677734
20,0.00545191764831543
21,0.005295991897583008
22,0.0051898956298828125
23,0.005390167236328125
24,0.004882097244262695
25,0.005484104156494141
26,0.0047702789306640625
27,0.005656003952026367
28,0.0060498714447021484
29,0.005810976028442383
30,0.005622148513793945
31,0.004992008209228516
32,0.004805326461791992
33,0.005693197250366211
34,0.006140232086181641
35,0.005652904510498047
36,0.005232095718383789
37,0.004895925521850586
38,0.005116939544677734
39,0.004858970642089844
40,0.004703998565673828
41,0.0052127838134765625
42,0.004695892333984375
43,0.0054929256439208984
44,0.004942893981933594
45,0.004559040069580078
46,0.004525899887084961
47,0.004887104034423828
48,0.005023002624511719
49,0.005154132843017578
50,0.004909038543701172
51,0.004542350769042969
52,0.004823923110961914
53,0.004613161087036133
54,0.005237102508544922
55,0.005251646041870117
56,0.004971027374267578
57,0.004906177520751953
58,0.004875898361206055
59,0.005008220672607422
60,0.004981040954589844
61,0.005786895751953125
62,0.005307197570800781
63,0.0048828125
64,0.004826068878173828
65,0.005034923553466797
66,0.004832029342651367
67,0.0049860477447509766
68,0.004967927932739258
69,0.004932880401611328
70,0.0049779415130615234
71,0.004927873611450195
72,0.004882097244262695
73,0.0048329830169677734
74,0.004713773727416992
75,0.004873991012573242
76,0.005364894866943359
77,0.0049648284912109375
78,0.00471806526184082
79,0.004909038543701172
80,0.004800081253051758
81,0.004859209060668945
82,0.004846096038818359
83,0.005337953567504883
84,0.0045888423919677734
85,0.004653215408325195
86,0.004503726959228516
87,0.0050051212310791016
88,0.004952192306518555
89,0.0051081180572509766
90,0.0052449703216552734
91,0.005176067352294922
92,0.0050961971282958984
93,0.005208015441894531
94,0.005517005920410156
95,0.0061168670654296875
96,0.005645036697387695
97,0.005508899688720703
98,0.00531005859375
99,0.0050771236419677734
100,0.005006074905395508
101,0.00545811653137207
102,0.005218029022216797
103,0.005049943923950195
104,0.006057024002075195
105,0.005474090576171875
106,0.006340980529785156
107,0.005708932876586914
108,0.0058591365814208984
109,0.0056209564208984375
110,0.0052890777587890625
111,0.005214214324951172
112,0.005485057830810547
113,0.00527191162109375
114,0.005727052688598633
115,0.00555419921875
116,0.005686044692993164
117,0.0056400299072265625
118,0.00565791130065918
119,0.005922794342041016
120,0.0056650638580322266
121,0.005262136459350586
122,0.0061779022216796875
123,0.005528926849365234
124,0.005579710006713867
125,0.005304098129272461
126,0.005792140960693359
127,0.00555109977722168
128,0.0054128170013427734
129,0.005366086959838867
130,0.005861759185791016
131,0.006046772003173828
132,0.00628972053527832
133,0.006090879440307617
134,0.005924224853515625
135,0.005827188491821289
136,0.005663871765136719
137,0.005106210708618164
138,0.005644083023071289
139,0.005565166473388672
140,0.006016969680786133
141,0.006039619445800781
142,0.005347013473510742
143,0.005946159362792969
144,0.0053670406341552734
145,0.00540924072265625
146,0.006348609924316406
147,0.0067157745361328125
148,0.005730152130126953
149,0.005836009979248047
150,0.0057373046875
151,0.0062029361724853516
152,0.0059320926666259766
153,0.0057680606842041016
154,0.005653858184814453
155,0.005597114562988281
156,0.005362033843994141
157,0.006181955337524414
158,0.005861043930053711
159,0.005462169647216797
160,0.005347013473510742
161,0.005350828170776367
162,0.005280017852783203
163,0.005596160888671875
164,0.0056400299072265625
165,0.005373954772949219
