,model_14
0,0.30000001192092896
1,0.2666666805744171
2,0.2888889014720917
3,0.30000001192092896
4,0.3400000035762787
5,0.32777777314186096
6,0.3619047701358795
7,0.3708333373069763
8,0.39629629254341125
9,0.4000000059604645
10,0.40303030610084534
11,0.40833333134651184
12,0.4128205180168152
13,0.41904762387275696
14,0.42444443702697754
15,0.42500001192092896
16,0.42549020051956177
17,0.42407408356666565
18,0.42105263471603394
19,0.4300000071525574
20,0.43015873432159424
21,0.4363636374473572
22,0.4434782564640045
23,0.4444444477558136
24,0.4586666524410248
25,0.47179487347602844
26,0.47777777910232544
27,0.4821428656578064
28,0.48620688915252686
29,0.49000000953674316
30,0.49462366104125977
31,0.49687498807907104
32,0.5040404200553894
33,0.5117647051811218
34,0.5180952548980713
35,0.5231481194496155
36,0.5297297239303589
37,0.5368421077728271
38,0.5461538434028625
39,0.5525000095367432
40,0.5577235817909241
41,0.5626984238624573
42,0.5666666626930237
43,0.5689393877983093
44,0.5733333230018616
45,0.5782608985900879
46,0.583687961101532
47,0.5895833373069763
48,0.5945578217506409
49,0.5973333120346069
50,0.5986928343772888
51,0.603205144405365
52,0.606918215751648
53,0.6135802268981934
54,0.6187878847122192
55,0.6238095164299011
56,0.6245614290237427
57,0.6298850774765015
58,0.6344632506370544
59,0.6377778053283691
60,0.6420764923095703
61,0.6451612710952759
62,0.6492063403129578
63,0.653124988079071
64,0.656410276889801
65,0.6590909361839294
66,0.6626865863800049
67,0.6656862497329712
68,0.6681159138679504
69,0.6723809242248535
70,0.6769952774047852
71,0.6814814805984497
72,0.6835616230964661
73,0.6855855584144592
74,0.6871111392974854
75,0.6885964870452881
76,0.6922078132629395
77,0.6944444179534912
78,0.6974683403968811
79,0.6995833516120911
80,0.7024691104888916
81,0.7040650248527527
82,0.7048192620277405
83,0.7071428298950195
84,0.7101960778236389
85,0.7127906680107117
86,0.715325653553009
87,0.717424213886261
88,0.7191011309623718
89,0.7211111187934875
90,0.7230769395828247
91,0.7242753505706787
92,0.725806474685669
93,0.7280141711235046
94,0.7294737100601196
95,0.7309027910232544
96,0.7329896688461304
97,0.7353741526603699
98,0.7370370626449585
99,0.7386666536331177
100,0.7402639985084534
101,0.7415032386779785
102,0.7430420517921448
103,0.7435897588729858
104,0.7444444298744202
105,0.7452830076217651
106,0.7464174628257751
107,0.7484567761421204
108,0.7507645487785339
109,0.7527272701263428
110,0.754054069519043
111,0.7562500238418579
112,0.7578170895576477
113,0.7590643167495728
114,0.760869562625885
115,0.7612069249153137
116,0.7623931765556335
117,0.7644068002700806
118,0.7655462026596069
119,0.7672222256660461
120,0.7683195471763611
121,0.7693989276885986
122,0.76991868019104
123,0.7709677219390869
124,0.7725333571434021
125,0.77354496717453
126,0.7745406627655029
127,0.7749999761581421
128,0.776485800743103
129,0.7774358987808228
130,0.7788804173469543
131,0.7797979712486267
132,0.7804511189460754
133,0.7818408012390137
134,0.7827160358428955
135,0.7828431129455566
136,0.783698320388794
137,0.7850241661071777
138,0.786091148853302
139,0.7873809337615967
140,0.7884160876274109
141,0.7896713614463806
142,0.7909091114997864
143,0.7923611402511597
144,0.7928735613822937
145,0.793379008769989
146,0.7945578098297119
147,0.7952702641487122
148,0.7959731817245483
149,0.7964444160461426
150,0.7971302270889282
151,0.7978070378303528
152,0.798257052898407
153,0.798701286315918
154,0.7989247441291809
155,0.7993589639663696
156,0.800000011920929
157,0.8012658357620239
158,0.8016771674156189
159,0.8025000095367432
160,0.8035196661949158
161,0.8041152358055115
162,0.8053169846534729
163,0.8060975670814514
164,0.806464672088623
165,0.8072289228439331
166,0.8081836104393005
167,0.8091269731521606
168,0.8096646666526794
169,0.8107843399047852
170,0.8109161853790283
171,0.8120155334472656
172,0.8129094243049622
173,0.8132184147834778
174,0.8139047622680664
175,0.8147727251052856
176,0.8154425621032715
177,0.8161048889160156
178,0.8163873553276062
179,0.8166666626930237
180,0.8171270489692688
181,0.8175824284553528
182,0.8180328011512756
183,0.8186594247817993
184,0.8194594383239746
185,0.8200716972351074
186,0.8210338950157166
187,0.8214539289474487
188,0.8218694925308228
189,0.8228070139884949
190,0.8235602378845215
191,0.824131965637207
192,0.8245250582695007
193,0.8247422575950623
194,0.8252991437911987
195,0.8256802558898926
196,0.8257191181182861
197,0.8257575631141663
198,0.8264656662940979
199,0.8270000219345093
200,0.827694833278656
201,0.8283828496932983
202,0.8287356495857239
203,0.8295751810073853
204,0.8299186825752258
205,0.830420732498169
206,0.8310788869857788
207,0.8318910002708435
208,0.8322169184684753
209,0.8330158591270447
210,0.8330173492431641
211,0.8336477875709534
212,0.8342723250389099
213,0.8344236612319946
214,0.8348837494850159
215,0.8356481194496155
216,0.8362519145011902
217,0.8368501663208008
218,0.837442934513092
219,0.8377272486686707
220,0.8380090594291687
221,0.8385885953903198
222,0.8388639688491821
223,0.8388392925262451
224,0.839555561542511
225,0.8395280241966248
226,0.8399412631988525
227,0.8399122953414917
228,0.8406113386154175
229,0.8411594033241272
230,0.8414141535758972
231,0.8416666388511658
232,0.8419170379638672
233,0.8421652317047119
234,0.8426950573921204
235,0.8432203531265259
236,0.8436005711555481
237,0.8441176414489746
238,0.8444909453392029
239,0.8448610901832581
240,0.8453665375709534
241,0.8458677530288696
242,0.84609055519104
243,0.8461748361587524
244,0.8468027114868164
245,0.8471544981002808
246,0.8476383090019226
247,0.8481183052062988
248,0.8485943675041199
249,0.8492000102996826
250,0.8495351672172546
251,0.8496031761169434
252,0.8496706485748291
253,0.850262463092804
254,0.8505882620811462
255,0.8506510257720947
256,0.8512321710586548
257,0.8516795635223389
258,0.8522522449493408
259,0.8521794676780701
260,0.8522350192070007
261,0.8525445461273193
262,0.8529784679412842
263,0.8534091114997864
264,0.8538364768028259
265,0.8543859720230103
266,0.8543071150779724
267,0.8548507690429688
268,0.8551424741744995
269,0.8554320931434631
270,0.8554735779762268
271,0.85563725233078
272,0.8559218645095825
273,0.8563260436058044
274,0.8567273020744324
275,0.8572463989257812
276,0.8577617406845093
277,0.8579136729240417
278,0.8581839799880981
279,0.8580952286720276
280,0.8584815859794617
281,0.8588652610778809
282,0.8593639731407166
283,0.8597418069839478
284,0.8602339029312134
285,0.8604894876480103
286,0.8605110049247742
287,0.8606481552124023
288,0.8607842922210693
289,0.8609195351600647
290,0.8609392642974854
291,0.8613013625144958
292,0.8615472316741943
293,0.8619047403335571
294,0.8614689111709595
295,0.8617117404937744
296,0.8618406057357788
297,0.8619686961174011
298,0.8623188138008118
299,0.8624444603919983
300,0.8625692129135132
301,0.8628035187721252
302,0.8629263043403625
303,0.8631578683853149
304,0.8636065721511841
305,0.8638344407081604
306,0.8640608191490173
307,0.864393949508667
308,0.8647249341011047
309,0.8651612997055054
310,0.864844560623169
311,0.865170955657959
312,0.8656017184257507
313,0.8658174276351929
314,0.8660317659378052
315,0.8662447333335876
316,0.8664563894271851
317,0.8666666746139526
318,0.8668756484985352
319,0.8670833110809326
320,0.8669781684875488
321,0.8672877550125122
322,0.8675954341888428
323,0.8674896955490112
324,0.8676922917366028
325,0.8680981397628784
326,0.8681957125663757
327,0.8685975670814514
328,0.8689969778060913
329,0.8691919445991516
330,0.869284987449646
331,0.8695783019065857
332,0.8696696758270264
333,0.8698602914810181
334,0.8699502348899841
335,0.8701388835906982
336,0.8703263998031616
337,0.8707100749015808
338,0.8710914254188538
339,0.8711764812469482
340,0.8712610006332397
341,0.871345043182373
342,0.871525764465332
343,0.871608555316925
344,0.8716908097267151
345,0.8718689680099487
346,0.8720461130142212
347,0.8724138140678406
348,0.8726838827133179
349,0.872952401638031
350,0.8731244206428528
351,0.8733901381492615
352,0.8736543655395508
353,0.8738229870796204
354,0.8739905953407288
355,0.8742509484291077
356,0.8744164109230042
357,0.8747672438621521
358,0.8749303817749023
359,0.875
360,0.8751615881919861
361,0.8752301931381226
362,0.8755739331245422
363,0.8757326006889343
364,0.8759817481040955
365,0.8760473728179932
366,0.8761126399040222
367,0.8759963512420654
368,0.8761517405509949
369,0.8762162327766418
370,0.8763701915740967
371,0.8766129016876221
372,0.8766756057739258
373,0.876916229724884
374,0.8768888711929321
375,0.8767730593681335
376,0.8768346309661865
377,0.8770723342895508
378,0.8772207498550415
379,0.8774561285972595
380,0.8776028156280518
381,0.8777486681938171
382,0.8779808282852173
383,0.8782986402511597
384,0.8785281181335449
385,0.8787564635276794
386,0.878897488117218
387,0.8792096376419067
388,0.8792630434036255
389,0.879487156867981
390,0.8796249032020569
391,0.879676878452301
392,0.879898190498352
393,0.8801184296607971
394,0.8804219365119934
395,0.880471408367157
396,0.880688488483429
397,0.8808207511901855
398,0.8811194896697998
399,0.8812500238418579
400,0.881546139717102
401,0.8815920352935791
402,0.8815550208091736
403,0.8817656636238098
404,0.88181072473526
405,0.8820196986198425
406,0.8821457624435425
407,0.8823529481887817
408,0.8823145627975464
409,0.8824390172958374
410,0.8825628757476807
411,0.8826860785484314
412,0.8827279806137085
413,0.8830112814903259
414,0.8832931518554688
415,0.8834134340286255
416,0.883613109588623
417,0.8838118314743042
418,0.8838504552841187
419,0.8838889002799988
420,0.8840855360031128
421,0.8838862776756287
422,0.8839243650436401
423,0.8841195106506348
424,0.8841568827629089
425,0.8843505382537842
426,0.8844652771949768
427,0.8846573233604431
428,0.8849261999130249
429,0.8849612474441528
430,0.8851507902145386
431,0.8854166865348816
432,0.8856043219566345
433,0.8857910633087158
434,0.8859003782272339
435,0.8860856294631958
436,0.8863462805747986
437,0.8863774538040161
438,0.8864844441413879
439,0.8865908980369568
440,0.8867725133895874
441,0.8869532346725464
442,0.8869826793670654
443,0.8872372508049011
444,0.8872659206390381
445,0.8870702385902405
446,0.8872483372688293
447,0.8874256014823914
448,0.8874536156654358
449,0.8876296281814575
450,0.8877309560775757
451,0.8879055976867676
452,0.887932300567627
453,0.8881057500839233
454,0.8882783651351929
455,0.8884502649307251
456,0.8885484933853149
457,0.8885735273361206
458,0.8886710405349731
459,0.8886956572532654
460,0.8887924551963806
461,0.8889610171318054
462,0.8891288638114929
463,0.8892959952354431
464,0.8893907070159912
465,0.8894850015640259
466,0.8894361257553101
467,0.8895299434661865
468,0.8896943926811218
469,0.8897872567176819
470,0.8898797035217285
471,0.8900423645973206
472,0.8902043700218201
473,0.8904359936714172
474,0.890526294708252
475,0.8905462026596069
476,0.8907058238983154
477,0.8909344673156738
478,0.8910229802131653
479,0.8911805748939514
480,0.891406774520874
481,0.8913554549217224
482,0.8912353515625
483,0.8913911581039429
484,0.891546368598938
485,0.8916323781013489
486,0.8917864561080933
487,0.8920081853866577
488,0.8920245170593262
489,0.8921768665313721
490,0.8923285603523254
491,0.8925474286079407
492,0.8926301598548889
493,0.8927800059318542
494,0.8928619623184204
495,0.8929435610771179
496,0.8930918574333191
497,0.8931726813316345
498,0.8933199644088745
499,0.8934000134468079
500,0.8934131860733032
501,0.8934926986694336
502,0.8937044143676758
503,0.8939153552055359
504,0.894059419631958
505,0.8941370248794556
506,0.8942143321037292
507,0.8943569660186768
508,0.8942370414733887
509,0.8943790793418884
510,0.8944553136825562
511,0.89453125
512,0.8947368264198303
513,0.8948119282722473
514,0.8949514627456665
515,0.8950904607772827
516,0.895164430141449
517,0.8951737284660339
518,0.8953757286071777
519,0.8955128192901611
520,0.8956493735313416
521,0.8957854509353638
522,0.8959847092628479
523,0.8959923386573792
524,0.8961269855499268
525,0.8962610960006714
526,0.8963314294815063
527,0.8964646458625793
528,0.8966603875160217
529,0.896792471408844
530,0.8968612551689148
531,0.8969925045967102
532,0.8969355821609497
533,0.8970037698745728
534,0.8971962332725525
535,0.8972014784812927
536,0.8973308801651001
537,0.8973977565765381
538,0.8974644541740417
539,0.8974074125289917
540,0.8974738121032715
541,0.8976014852523804
542,0.8976058959960938
543,0.8977328538894653
544,0.8978593349456787
545,0.8979853391647339
546,0.8980499505996704
547,0.8981143832206726
548,0.8982391953468323
549,0.8983030319213867
550,0.8984271287918091
551,0.8984299302101135
552,0.8984930515289307
553,0.8986161351203918
554,0.8986786603927612
555,0.8988009691238403
556,0.8988031148910522
557,0.8988649845123291
558,0.8990459442138672
559,0.8991666436195374
560,0.8991681337356567
561,0.8992289304733276
562,0.8991711139678955
563,0.8992908000946045
564,0.8994100093841553
565,0.8994110822677612
566,0.8994120955467224
567,0.8994718194007874
568,0.8994727730751038
569,0.8995906710624695
570,0.8996497392654419
571,0.8997669219970703
572,0.8998836278915405
573,0.9000580906867981
574,0.9001739025115967
575,0.9001736044883728
576,0.9001733064651489
577,0.900346040725708
578,0.9003454446792603
579,0.9003448486328125
580,0.9005163311958313
581,0.900629997253418
582,0.900743305683136
583,0.9009132385253906
584,0.9008547067642212
585,0.9008532166481018
586,0.9007949829101562
587,0.9008503556251526
588,0.9009054899215698
589,0.9009039402008057
590,0.9010152220726013
591,0.9011261463165283
592,0.9012366533279419
593,0.9014028906822205
594,0.9015686511993408
595,0.9016778469085693
596,0.9016750454902649
597,0.9016722440719604
598,0.9017807245254517
599,0.901888906955719
600,0.9020521640777588
601,0.9020487070083618
602,0.902155876159668
603,0.9022626876831055
604,0.9022589325904846
605,0.9023102521896362
606,0.9024162292480469
607,0.9025219082832336
608,0.902572512626648
609,0.902677595615387
610,0.9027823209762573
611,0.9027777910232544
612,0.9028276205062866
613,0.9029315710067749
614,0.9030352234840393
615,0.903030276298523
616,0.9028633236885071
617,0.9030205011367798
618,0.9031771421432495
619,0.9032795429229736
620,0.9034352898597717
621,0.9033762216567993
622,0.9034777879714966
623,0.9035256505012512
624,0.9035199880599976
625,0.903407871723175
626,0.9034556150436401
627,0.9036093354225159
628,0.9036036133766174
629,0.9037036895751953
630,0.9038034677505493
631,0.9038501977920532
632,0.9040021300315857
633,0.9040483832359314
634,0.9039894938468933
635,0.9040880799293518
636,0.9041863083839417
637,0.9042842388153076
638,0.9043818712234497
639,0.9044271111488342
640,0.9045242071151733
641,0.9045690298080444
642,0.9046656489372253
643,0.9047619104385376
644,0.9047545194625854
645,0.9049019813537598
646,0.9049459099769592
647,0.904938280582428
648,0.9049306511878967
649,0.9050769209861755
650,0.9052227139472961
651,0.9052658677101135
652,0.9053088426589966
653,0.9053516983985901
654,0.9054961800575256
655,0.9056402444839478
656,0.9057838916778564
657,0.9057750701904297
658,0.905816912651062
659,0.90585857629776
660,0.9060010313987732
661,0.9061430096626282
662,0.9061337113380432
663,0.9062750935554504
664,0.9063659310340881
665,0.906456470489502
666,0.9065467119216919
667,0.9066367149353027
668,0.9067264795303345
669,0.9068159461021423
670,0.9067561030387878
671,0.906845211982727
672,0.9068350791931152
673,0.9069733023643494
674,0.907061755657196
675,0.9071499109268188
676,0.9071885943412781
677,0.9072763323783875
678,0.9074128866195679
679,0.9075000286102295
680,0.9075868725776672
681,0.9076735377311707
682,0.9078086614608765
683,0.9078947305679321
684,0.9080291986465454
685,0.9081146717071533
686,0.9081999063491821
687,0.908187985420227
688,0.9082244634628296
689,0.9082608819007874
690,0.9083454012870789
691,0.9084778428077698
692,0.9084656238555908
693,0.9085975289344788
694,0.9085851311683655
695,0.9086207151412964
696,0.9086083173751831
697,0.9085959792137146
698,0.9087267518043518
699,0.9088571667671204
700,0.9089871644973755
701,0.9090218544006348
702,0.9091512560844421
703,0.9092329740524292
704,0.9092671275138855
705,0.9092540144920349
706,0.909335196018219
707,0.9094161987304688
708,0.9094499349594116
709,0.9094835519790649
710,0.9095171093940735
711,0.9095505475997925
712,0.9096306562423706
713,0.9097572565078735
714,0.909883439540863
715,0.9099162220954895
716,0.9099953770637512
717,0.9099814295768738
718,0.9100602865219116
719,0.9101389050483704
720,0.9101710319519043
721,0.9102954864501953
722,0.9103734493255615
723,0.9103591442108154
724,0.9104368090629578
725,0.910468339920044
726,0.9104997515678406
727,0.9104853272438049
728,0.9105623960494995
729,0.9105022549629211
730,0.9105791449546814
731,0.910564661026001
732,0.9105502367019653
733,0.9106267094612122
734,0.9105668663978577
735,0.910461962223053
736,0.9105834364891052
737,0.9106594324111938
738,0.9107352495193481
739,0.9107657670974731
740,0.910751223564148
741,0.9108715057373047
742,0.9109914898872375
743,0.9110662937164307
744,0.9110962152481079
745,0.9111706614494324
746,0.9112449884414673
747,0.9111853837966919
748,0.9112149477005005
749,0.9113333225250244
750,0.9113182425498962
751,0.911436140537262
752,0.9115095138549805
753,0.9116268754005432
754,0.9116997718811035
755,0.9118165969848633
756,0.9119330644607544
757,0.9120492339134216
758,0.912165105342865
759,0.9122368693351746
760,0.9123521447181702
761,0.9122922420501709
762,0.9123197793960571
763,0.912390947341919
764,0.9122875928878784
765,0.9123585820198059
766,0.9124728441238403
767,0.9125000238418579
768,0.9126138091087341
769,0.9126406908035278
770,0.9127539992332458
771,0.9128238558769226
772,0.9129366278648376
773,0.9129629731178284
774,0.9130752682685852
775,0.9131013751029968
776,0.9131274223327637
777,0.9131962060928345
778,0.9131792783737183
779,0.9131624102592468
780,0.9132308959960938
781,0.9132992625236511
782,0.913409948348999
783,0.913477897644043
784,0.9135456681251526
785,0.9136556386947632
786,0.9137653708457947
787,0.9137479066848755
788,0.913772702217102
789,0.9137552976608276
790,0.9138643145561218
791,0.9139730930328369
792,0.9140815734863281
793,0.9140638113021851
794,0.9141299724578857
795,0.9141122102737427
796,0.9141363501548767
797,0.914160430431366
798,0.9141843914985657
799,0.9142916798591614
800,0.91435706615448
801,0.9143391251564026
802,0.9144458174705505
803,0.914469301700592
804,0.9144513607025146
805,0.9145161509513855
806,0.914580762386322
807,0.9145948886871338
