,model_7
0,0.6332082748413086
1,0.00873112678527832
2,0.008371829986572266
3,0.007318973541259766
4,0.007723093032836914
5,0.007198810577392578
6,0.004827260971069336
7,0.0050928592681884766
8,0.005640983581542969
9,0.005323171615600586
10,0.005201101303100586
11,0.0053789615631103516
12,0.005202293395996094
13,0.005749940872192383
14,0.005836009979248047
15,0.00568389892578125
16,0.005818843841552734
17,0.005156993865966797
18,0.004703044891357422
19,0.00515294075012207
20,0.005349159240722656
21,0.00506901741027832
22,0.004934072494506836
23,0.005609989166259766
24,0.005343914031982422
25,0.005136013031005859
26,0.005331993103027344
27,0.00583195686340332
28,0.005530118942260742
29,0.004685163497924805
30,0.005259037017822266
31,0.005132913589477539
32,0.005140066146850586
33,0.004784822463989258
34,0.0050313472747802734
35,0.004884004592895508
36,0.0058650970458984375
37,0.005234956741333008
38,0.005088090896606445
39,0.005127906799316406
40,0.005927085876464844
41,0.006014823913574219
42,0.0049860477447509766
43,0.0051708221435546875
44,0.0062408447265625
45,0.005583286285400391
46,0.00522303581237793
47,0.005301952362060547
48,0.00634312629699707
49,0.004677772521972656
50,0.005379199981689453
51,0.005335092544555664
52,0.004882097244262695
53,0.004750251770019531
54,0.004867076873779297
55,0.006121158599853516
56,0.004991054534912109
57,0.0057680606842041016
58,0.005593061447143555
59,0.005416154861450195
60,0.004950046539306641
61,0.005644083023071289
62,0.0053310394287109375
63,0.0050771236419677734
64,0.005769968032836914
65,0.0052700042724609375
66,0.005254030227661133
67,0.005189180374145508
68,0.005226850509643555
69,0.005794048309326172
70,0.005254030227661133
71,0.0052700042724609375
72,0.005679130554199219
73,0.004943132400512695
74,0.004747152328491211
75,0.004657268524169922
76,0.005244016647338867
77,0.00501704216003418
78,0.005294084548950195
79,0.005336761474609375
80,0.005278110504150391
81,0.00571131706237793
82,0.004807949066162109
83,0.004827976226806641
84,0.005191326141357422
85,0.005825996398925781
86,0.005993366241455078
87,0.005735158920288086
88,0.0056340694427490234
89,0.0055620670318603516
90,0.0059299468994140625
91,0.0063779354095458984
92,0.00566411018371582
93,0.006049156188964844
94,0.005585908889770508
95,0.0059051513671875
96,0.005404949188232422
97,0.005418062210083008
98,0.005747079849243164
99,0.005834817886352539
100,0.006471157073974609
101,0.005751132965087891
102,0.0059661865234375
