,iteration_0
0,0.37194889783859253
1,0.5700328946113586
2,0.596781313419342
3,0.6595422029495239
4,0.8218034505844116
5,0.7819337248802185
6,0.5299734473228455
7,0.5207411050796509
8,0.6587833762168884
9,0.5406917929649353
10,0.6889148950576782
11,0.6040533781051636
12,0.6750664114952087
13,0.8339446187019348
14,0.856582760810852
15,0.8396990299224854
16,0.8132035136222839
17,0.8577210307121277
18,0.8426077961921692
19,0.8466864824295044
20,0.7661882042884827
21,0.7203111052513123
22,0.7181611061096191
23,0.8240483403205872
24,0.7722903490066528
25,0.8002402782440186
26,0.8571835160255432
27,0.870968759059906
28,0.8412798643112183
29,0.838718831539154
30,0.8694827556610107
