,iteration_0
0,0.37194889783859253
1,0.4860566556453705
2,0.6351017951965332
3,0.6358922719955444
4,0.7065587568283081
5,0.7241115212440491
6,0.820412278175354
7,0.8338181376457214
8,0.849626898765564
9,0.8461540651321411
10,0.8482584857940674
11,0.8504767632484436
12,0.8566826891899109
13,0.8614657926559448
14,0.8568357229232788
15,0.8498798608779907
16,0.8831099271774292
17,0.8753319978713989
18,0.8832679986953735
19,0.8876944184303284
20,0.8846907615661621
21,0.8833312392234802
22,0.8883584141731262
23,0.8900973796844482
24,0.8899076581001282
25,0.8917098641395569
26,0.8926900029182434
27,0.8734349608421326
28,0.8642380023002625
29,0.8932275176048279
30,0.8836790323257446
