,iteration_0
0,0.37194889783859253
1,0.3506070673465729
2,0.7297647595405579
3,0.7626470327377319
4,0.782692551612854
5,0.7673264145851135
6,0.797078549861908
7,0.8647717237472534
8,0.7142089009284973
9,0.8884532451629639
10,0.8488048315048218
11,0.8731187582015991
12,0.8768812417984009
13,0.8385607600212097
14,0.8809599280357361
15,0.8640128970146179
16,0.8091248273849487
17,0.8687871694564819
18,0.8250917196273804
19,0.8731503486633301
20,0.8747944831848145
21,0.8917098641395569
22,0.8554761409759521
23,0.8821929693222046
24,0.8912355899810791
25,0.8848804831504822
26,0.8918363451957703
27,0.8999936580657959
28,0.8893069624900818
29,0.8885481357574463
30,0.88405841588974
