,iteration_0
0,0.37194889783859253
1,0.40053117275238037
2,0.359523206949234
3,0.6767104864120483
4,0.6855634450912476
5,0.718603789806366
6,0.6673200726509094
7,0.6481598615646362
8,0.8359681367874146
9,0.7907233834266663
10,0.855065107345581
11,0.8144682049751282
12,0.8339762091636658
13,0.8540217280387878
14,0.8793473839759827
15,0.8814657926559448
16,0.8743834495544434
17,0.8101682066917419
18,0.8771974444389343
19,0.8841216564178467
20,0.8920260667800903
21,0.8898128271102905
22,0.8800429701805115
23,0.8656570315361023
24,0.8461806178092957
25,0.8482041358947754
26,0.879473865032196
27,0.8829973149299622
28,0.8817958641052246
29,0.8809737968444824
30,0.8758062720298767
