,iteration_0
0,0.37194889783859253
1,0.6154989004135132
2,0.5664284825325012
3,0.6507841348648071
4,0.6620399355888367
5,0.6892942786216736
6,0.7849057912826538
7,0.7180030345916748
8,0.7229669690132141
9,0.8573732376098633
10,0.8104211688041687
11,0.7968888282775879
12,0.8002719283103943
13,0.8513975143432617
14,0.8660364151000977
15,0.8290755152702332
16,0.8554129004478455
17,0.8353357911109924
18,0.8422600030899048
19,0.8563930988311768
20,0.8564562797546387
21,0.8771974444389343
22,0.8681864142417908
23,0.8579423427581787
24,0.8740988969802856
25,0.8723283410072327
26,0.8670797944068909
27,0.86445552110672
28,0.8899076581001282
29,0.8927532434463501
30,0.8873782753944397
