,iteration_0
0,0.37194889783859253
1,0.6195459961891174
2,0.6943846940994263
3,0.7002971768379211
4,0.7919564843177795
5,0.7375742793083191
6,0.8408372402191162
7,0.8483622074127197
8,0.8588908314704895
9,0.8672910308837891
10,0.8527342772483826
11,0.8741937279701233
12,0.8615454506874084
13,0.8782673764228821
14,0.8837915849685669
15,0.8853585505485535
16,0.899672417640686
17,0.8840673065185547
18,0.8982268953323364
19,0.8848982048034668
20,0.8936878633499146
21,0.8909194469451904
22,0.9016011047363281
23,0.8919476532936096
24,0.8908827590942383
25,0.8943518590927124
26,0.8889907598495483
27,0.8931503486633301
28,0.8956936597824097
29,0.8986024856567383
30,0.8948084115982056
