,iteration_0
0,0.37194889783859253
1,0.47416844964027405
2,0.5414506196975708
3,0.6413620710372925
4,0.7619514465332031
5,0.6555583477020264
6,0.7180346250534058
7,0.6407613754272461
8,0.7049449682235718
9,0.8305615186691284
10,0.8115909695625305
11,0.8152902722358704
12,0.8551599979400635
13,0.8530415892601013
14,0.8320791721343994
15,0.867459237575531
16,0.86464524269104
17,0.8587644100189209
18,0.8403946161270142
19,0.7862337231636047
20,0.8654357194900513
21,0.8652459979057312
22,0.8989186882972717
23,0.89385986328125
24,0.8946186900138855
25,0.8925003409385681
26,0.8851650357246399
27,0.9033451080322266
28,0.900404691696167
29,0.9018275141716003
30,0.8983811736106873
