,iteration_0
0,0.37194889783859253
1,0.4041355848312378
2,0.6334893107414246
3,0.6858479976654053
4,0.7700771689414978
5,0.7234412431716919
6,0.793790340423584
7,0.7479764819145203
8,0.7614771723747253
9,0.7317250370979309
10,0.8305615186691284
11,0.7561970353126526
12,0.7727330327033997
13,0.7910079956054688
14,0.7856329679489136
15,0.8670482039451599
16,0.8314151763916016
17,0.8478879332542419
18,0.8610724806785583
19,0.8593651056289673
20,0.8761224150657654
21,0.8681548237800598
22,0.8924371004104614
23,0.8992348313331604
24,0.8767864108085632
25,0.8719488978385925
26,0.8732768297195435
27,0.8725812435150146
28,0.8665106892585754
29,0.8736246228218079
30,0.8776084184646606
